"","id","uri","siglaTipo","codTipo","numero","ano","ementa"
"39",2204658,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204658","EMC","130","39","2019","Acrescente-se ao artigo 10 do Ato das Disposições Constitucionais Transitórias, alterado pelo art. 2º da Proposta, a seguinte alínea ""c"" no inciso II:
""Art.2º..........................................................................................
......................................................................................................
Art. 10..........................................................................................
.....................................................................................................
II - ..............................................................................................
...................................................................................................
c) do empregado nos 2 (dois) últimos anos que faltarem para completar a idade mínima para a aposentadoria.
............................................................................................"" (NR)"
"40",2204662,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204662","EMC","130","40","2019","Dê-se ao item 3 da alínea ""e"" do inciso I do § 1º do art. 40 do texto constitucional, alterado pelo art. 1º da Proposta de Emenda à Constituição nº 6/2019, a seguinte redação:"
"41",2204663,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204663","EMC","130","41","2019","Suprimam-se o número 2 da letra 'e' do inciso I do § 1º do art. 40, alterado pelo art. 1º e o inciso II do § 4º do art. 12; inclua-se os seguintes §§ 18 e 19 ao art. 40 da Constituição, alterado pelo art. 1º; dê-se nova redação ao art. 4º; e inclua-se o art. 46, renumerando-se os demais, todos da PEC nº 6, de 2019, nos seguintes termos:"
"42",2204672,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204672","EMC","130","42","2019","Altera o Art. 40 da constituição, inserido no artigo 1º da Proposta de Emenda à Constituição nº 6 de 2019."
"43",2204748,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204748","EMC","130","43","2019","Acrescenta os oficiais e os agentes de inteligência da Agência Brasileira de Inteligência nas categorias previstas com a possibilidade de aposentadoria especial."
"44",2204749,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204749","EMC","130","44","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"45",2204832,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204832","EMC","130","45","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"46",2204833,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204833","EMC","130","46","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"47",2204835,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204835","EMC","130","47","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"48",2204836,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204836","EMC","130","48","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"49",2204837,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204837","EMC","130","49","2019","Suprimam-se o § 8º do art. 40 da Constituição Federal, alterado pelo art. 1º da PEC 6/2019, os §§ 3º e 4º do art. 9º, e a expressão ""§19"" da alínea ""a"" do inciso I do art. 46 da PEC 6/2019."
"50",2204838,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204838","EMC","130","50","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"51",2204839,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204839","EMC","130","51","2019","Suprimam-se o art. 149 e seus parágrafos, incisos e alíneas do art. 1º, o inciso II do art. 195 do art. 1º, o art. 13 e seus §§ 1º e 2º, o caput do art. 14 e seus parágrafos e incisos, o art. 15 e seus §§ 1º e 2º e o art. 45 da PEC 6/2019."
"52",2204840,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204840","EMC","130","52","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"53",2204841,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204841","EMC","130","53","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"54",2204842,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204842","EMC","130","54","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"55",2204957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2204957","EMC","130","55","2019","Dê-se aos artigos 22 e 42 constantes do art. 1º da PEC e por consequência ao art. 17, a seguinte redação:"
"56",2205023,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205023","EMC","130","56","2019","Acrescenta alteração ao inciso V, do artigo 49 da Constituição Federal."
"57",2205024,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205024","EMC","130","57","2019","Acrescenta § 14º ao artigo 37, da Proposta de Emenda Constitucional nº 6 de 2019."
"58",2205160,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205160","EMC","130","58","2019","Para suprimir os artigos 13, 14 e 15 da PEC 6/2019 (alíquotas progressivas e extraordinárias)."
