"","uri","nome","codTipo","tipo","ordemAssinatura","proponente","id_emenda","id_deputado"
"338","https://dadosabertos.camara.leg.br/api/v2/deputados/204538","Paulo Bengtson",10000,"Deputado",7,1,2205882,204538
"339","https://dadosabertos.camara.leg.br/api/v2/deputados/204440","Christino Aureo",10000,"Deputado",1,1,2205885,204440
"340","https://dadosabertos.camara.leg.br/api/v2/deputados/73801","Renildo Calheiros",10000,"Deputado",8,1,2205886,73801
"341","https://dadosabertos.camara.leg.br/api/v2/deputados/73943","Perpétua Almeida",10000,"Deputado",4,1,2205886,73943
"342","https://dadosabertos.camara.leg.br/api/v2/deputados/74057","Alice Portugal",10000,"Deputado",2,1,2205886,74057
"343","https://dadosabertos.camara.leg.br/api/v2/deputados/74060","Daniel Almeida",10000,"Deputado",1,1,2205886,74060
"344","https://dadosabertos.camara.leg.br/api/v2/deputados/74848","Jandira Feghali",10000,"Deputado",3,1,2205886,74848
"345","https://dadosabertos.camara.leg.br/api/v2/deputados/81055","Márcio Jerry",10000,"Deputado",6,1,2205886,81055
"346","https://dadosabertos.camara.leg.br/api/v2/deputados/160641","Professora Marcivania",10000,"Deputado",5,1,2205886,160641
"347","https://dadosabertos.camara.leg.br/api/v2/deputados/178987","Orlando Silva",10000,"Deputado",7,1,2205886,178987
"348","https://dadosabertos.camara.leg.br/api/v2/deputados/74060","Daniel Almeida",10000,"Deputado",1,1,2205887,74060
"349","https://dadosabertos.camara.leg.br/api/v2/deputados/73801","Renildo Calheiros",10000,"Deputado",8,1,2205892,73801
"350","https://dadosabertos.camara.leg.br/api/v2/deputados/73943","Perpétua Almeida",10000,"Deputado",4,1,2205892,73943
"351","https://dadosabertos.camara.leg.br/api/v2/deputados/74057","Alice Portugal",10000,"Deputado",2,1,2205892,74057
"352","https://dadosabertos.camara.leg.br/api/v2/deputados/74060","Daniel Almeida",10000,"Deputado",1,1,2205892,74060
"353","https://dadosabertos.camara.leg.br/api/v2/deputados/74848","Jandira Feghali",10000,"Deputado",3,1,2205892,74848
"354","https://dadosabertos.camara.leg.br/api/v2/deputados/81055","Márcio Jerry",10000,"Deputado",6,1,2205892,81055
"355","https://dadosabertos.camara.leg.br/api/v2/deputados/160641","Professora Marcivania",10000,"Deputado",5,1,2205892,160641
"356","https://dadosabertos.camara.leg.br/api/v2/deputados/178987","Orlando Silva",10000,"Deputado",7,1,2205892,178987
"357","https://dadosabertos.camara.leg.br/api/v2/deputados/73801","Renildo Calheiros",10000,"Deputado",8,1,2205893,73801
"358","https://dadosabertos.camara.leg.br/api/v2/deputados/73943","Perpétua Almeida",10000,"Deputado",4,1,2205893,73943
"359","https://dadosabertos.camara.leg.br/api/v2/deputados/74057","Alice Portugal",10000,"Deputado",2,1,2205893,74057
"360","https://dadosabertos.camara.leg.br/api/v2/deputados/74060","Daniel Almeida",10000,"Deputado",1,1,2205893,74060
"361","https://dadosabertos.camara.leg.br/api/v2/deputados/74848","Jandira Feghali",10000,"Deputado",3,1,2205893,74848
"362","https://dadosabertos.camara.leg.br/api/v2/deputados/81055","Márcio Jerry",10000,"Deputado",6,1,2205893,81055
"363","https://dadosabertos.camara.leg.br/api/v2/deputados/160641","Professora Marcivania",10000,"Deputado",5,1,2205893,160641
"364","https://dadosabertos.camara.leg.br/api/v2/deputados/178987","Orlando Silva",10000,"Deputado",7,1,2205893,178987
"365","https://dadosabertos.camara.leg.br/api/v2/deputados/73801","Renildo Calheiros",10000,"Deputado",8,1,2205894,73801
"366","https://dadosabertos.camara.leg.br/api/v2/deputados/73943","Perpétua Almeida",10000,"Deputado",4,1,2205894,73943
"367","https://dadosabertos.camara.leg.br/api/v2/deputados/74057","Alice Portugal",10000,"Deputado",2,1,2205894,74057
"368","https://dadosabertos.camara.leg.br/api/v2/deputados/74060","Daniel Almeida",10000,"Deputado",1,1,2205894,74060
"369","https://dadosabertos.camara.leg.br/api/v2/deputados/74848","Jandira Feghali",10000,"Deputado",3,1,2205894,74848
"370","https://dadosabertos.camara.leg.br/api/v2/deputados/81055","Márcio Jerry",10000,"Deputado",6,1,2205894,81055
"371","https://dadosabertos.camara.leg.br/api/v2/deputados/160641","Professora Marcivania",10000,"Deputado",5,1,2205894,160641
"372","https://dadosabertos.camara.leg.br/api/v2/deputados/178987","Orlando Silva",10000,"Deputado",7,1,2205894,178987
"373","https://dadosabertos.camara.leg.br/api/v2/deputados/73801","Renildo Calheiros",10000,"Deputado",8,1,2205895,73801
"374","https://dadosabertos.camara.leg.br/api/v2/deputados/73943","Perpétua Almeida",10000,"Deputado",4,1,2205895,73943
"375","https://dadosabertos.camara.leg.br/api/v2/deputados/74057","Alice Portugal",10000,"Deputado",2,1,2205895,74057
"376","https://dadosabertos.camara.leg.br/api/v2/deputados/74060","Daniel Almeida",10000,"Deputado",1,1,2205895,74060
"377","https://dadosabertos.camara.leg.br/api/v2/deputados/74848","Jandira Feghali",10000,"Deputado",3,1,2205895,74848
"378","https://dadosabertos.camara.leg.br/api/v2/deputados/81055","Márcio Jerry",10000,"Deputado",6,1,2205895,81055
"379","https://dadosabertos.camara.leg.br/api/v2/deputados/160641","Professora Marcivania",10000,"Deputado",5,1,2205895,160641
"380","https://dadosabertos.camara.leg.br/api/v2/deputados/178987","Orlando Silva",10000,"Deputado",7,1,2205895,178987
"381","https://dadosabertos.camara.leg.br/api/v2/deputados/178975","Baleia Rossi",10000,"Deputado",1,1,2205899,178975
"382","https://dadosabertos.camara.leg.br/api/v2/deputados/204536","Kim Kataguiri",10000,"Deputado",1,1,2205900,204536
"383","https://dadosabertos.camara.leg.br/api/v2/deputados/160758","Domingos Sávio",10000,"Deputado",1,1,2205907,160758
"384","https://dadosabertos.camara.leg.br/api/v2/deputados/146788","Marcelo Aro",10000,"Deputado",1,1,2205912,146788
"385","https://dadosabertos.camara.leg.br/api/v2/deputados/146788","Marcelo Aro",10000,"Deputado",1,1,2205913,146788
"386","https://dadosabertos.camara.leg.br/api/v2/deputados/143632","Domingos Neto",10000,"Deputado",1,1,2205914,143632
"387","https://dadosabertos.camara.leg.br/api/v2/deputados/143632","Domingos Neto",10000,"Deputado",1,1,2205915,143632
"388","https://dadosabertos.camara.leg.br/api/v2/deputados/74585","Lincoln Portela",10000,"Deputado",1,1,2205916,74585
"389","https://dadosabertos.camara.leg.br/api/v2/deputados/204436","Isnaldo Bulhões Jr.",10000,"Deputado",1,1,2205917,204436
"390","https://dadosabertos.camara.leg.br/api/v2/deputados/143084","Tiago Dimas",10000,"Deputado",1,1,2205918,143084
"391","https://dadosabertos.camara.leg.br/api/v2/deputados/143084","Tiago Dimas",10000,"Deputado",1,1,2205919,143084
"392","https://dadosabertos.camara.leg.br/api/v2/deputados/141411","Dagoberto Nogueira",10000,"Deputado",1,1,2205920,141411
"393","https://dadosabertos.camara.leg.br/api/v2/deputados/141411","Dagoberto Nogueira",10000,"Deputado",1,1,2205921,141411
"394","https://dadosabertos.camara.leg.br/api/v2/deputados/204397","Boca Aberta",10000,"Deputado",1,1,2205922,204397
"395","https://dadosabertos.camara.leg.br/api/v2/deputados/204397","Boca Aberta",10000,"Deputado",1,1,2205923,204397
"396","https://dadosabertos.camara.leg.br/api/v2/deputados/204385","Valdevan Noventa",10000,"Deputado",1,1,2205924,204385
"397","https://dadosabertos.camara.leg.br/api/v2/deputados/204542","Denis Bezerra",10000,"Deputado",1,1,2205926,204542
"398","https://dadosabertos.camara.leg.br/api/v2/deputados/204531","Guilherme Derrite",10000,"Deputado",1,1,2205929,204531
"399","https://dadosabertos.camara.leg.br/api/v2/deputados/204380","Celina Leão",10000,"Deputado",1,1,2205930,204380
"400","https://dadosabertos.camara.leg.br/api/v2/deputados/204542","Denis Bezerra",10000,"Deputado",1,1,2205931,204542
"401","https://dadosabertos.camara.leg.br/api/v2/deputados/204514","Coronel Tadeu",10000,"Deputado",1,1,2205932,204514
"402","https://dadosabertos.camara.leg.br/api/v2/deputados/160639","Professora Dorinha Seabra Rezende",10000,"Deputado",1,1,2205933,160639
"403","https://dadosabertos.camara.leg.br/api/v2/deputados/160639","Professora Dorinha Seabra Rezende",10000,"Deputado",1,1,2205934,160639
"404","https://dadosabertos.camara.leg.br/api/v2/deputados/160639","Professora Dorinha Seabra Rezende",10000,"Deputado",1,1,2205935,160639
"405","https://dadosabertos.camara.leg.br/api/v2/deputados/160639","Professora Dorinha Seabra Rezende",10000,"Deputado",1,1,2205936,160639
"406","https://dadosabertos.camara.leg.br/api/v2/deputados/209189","Joseildo Ramos",10000,"Deputado",1,1,2205937,209189
